Particulars,Bank,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
net fee and commission income,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.065554 -0.710097 -1.339396,-0.063504 -0.908953 -1.240940,-0.060513 -0.884277 -1.097307,-0.057328 -0.895277 -0.944318,-0.066429 -0.824121 -1.381388,-0.062352 -0.923009 -1.185613,-0.056916 -0.828556 -0.924566,-0.050744 -0.896240 -0.628157,-0.061011 -0.441923 -1.121193,-0.054489 -0.632457 -0.808012,-0.047406 -0.683241 -0.467859,-0.036603 -0.704904 0.050961,-0.056211 -0.420443 -0.890678,-0.048416 -0.688973 -0.516318,-0.038128 -0.680686 -0.022276,-0.028089 -0.637175 0.459832,-0.037576 -0.477693 0.004221,,-0.048411 -0.649146 -0.516116,-0.039030 -0.689905 -0.065602,-0.027844 -0.250683 0.471595,-0.035536 -0.580280 0.102203,-0.045104 -0.673586 -0.357263,-0.048043 -0.577422 -0.498432,-0.015027 0.334506 1.087152,-0.024411 0.039344 0.636493,-0.028612 -0.677315 0.434727,-0.025935 -0.118487 0.563290,0.003278 0.387620 1.966228,-0.018391 0.070339 0.925560,-0.029327 -0.485587 0.400396,0.001938 0.103876 1.901865,0.010372 0.900138 2.306921,-0.015862 0.380613 1.047034,-0.003370 0.229702 1.646957,,,,
total operating income,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.067412 -0.689815 -1.797130,-0.054802 -0.541677 -1.158752,-0.043487 -0.513717 -0.585942,-0.030139 -0.495695 0.089812,-0.064381 -0.543168 -1.643680,-0.053118 -0.708394 -1.073467,-0.037507 -0.612071 -0.283165,-0.015039 -0.481764 0.854263,-0.059510 -0.596572 -1.397081,-0.031841 0.020722 0.003634,-0.014805 -0.206896 0.866114,0.005387 -0.305804 1.888305,-0.056904 -0.557632 -1.265135,-0.035236 -0.573268 -0.168228,-0.012678 -0.570247 0.973769,0.019782 -0.341323 2.617035,-0.040388 -0.005093 -0.429020,,-0.039083 0.086945 -0.362967,-0.038200 -0.158432 -0.318283,-0.031835 -0.249512 0.003952,-0.041534 -0.537323 -0.487069,-0.040347 -0.447698 -0.426947,-0.044989 -0.452269 -0.661962,-0.018789 0.948943 0.664416,-0.028196 0.479018 0.188205,-0.031016 -0.144066 0.045417,-0.038490 -0.722143 -0.332951,-0.029373 -0.207097 0.128610,-0.030441 0.132597 0.074510,-0.032188 -0.348237 -0.013906,-0.020446 -0.245528 0.580523,-0.015308 0.081723 0.840619,-0.028199 -0.466297 0.188026,0.015464 0.860525 2.398476,,,,
staff expenses,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.056538 0.089934 -1.902427,-0.044599 0.210522 -1.267395,-0.034319 0.084856 -0.720592,-0.025955 -0.061078 -0.275723,-0.053065 0.282363 -1.717694,-0.042510 0.102192 -1.156289,-0.029653 0.135427 -0.472423,-0.008864 0.251594 0.633351,-0.049692 0.303510 -1.538255,-0.036547 0.168213 -0.839073,-0.022783 0.086712 -0.106991,0.000674 0.216839 1.140665,-0.044908 0.257761 -1.283819,-0.027240 0.213563 -0.344074,-0.004315 0.248227 0.875340,0.027376 0.480487 2.560947,-0.030420 0.613234 -0.513221,,-0.029550 0.625208 -0.466922,-0.021889 1.072844 -0.059443,-0.019719 -0.248565 0.055959,-0.030799 0.169311 -0.533373,-0.022712 0.479923 -0.103232,-0.020547 0.614884 0.011921,-0.004000 1.578817 0.892082,-0.020965 0.529032 -0.010311,-0.018876 0.247314 0.100817,-0.014927 0.326495 0.310861,0.004323 1.142308 1.334744,-0.016287 0.401309 0.238520,-0.011153 0.462569 0.511591,-0.003102 0.297390 0.939852,0.003271 0.729401 1.278827,-0.007793 0.377553 0.690314,0.011856 0.891535 1.735466,,,,
operating profit,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.060650 0.444203 -0.931132,-0.069032 -1.163044 -1.339894,-0.072434 -1.303221 -1.505779,-0.067496 -1.269798 -1.264964,-0.068721 -0.773842 -1.324731,-0.060811 -1.108677 -0.939014,-0.050654 -1.076970 -0.443693,-0.033447 -1.068071 0.395343,-0.066722 -0.997098 -1.227228,-0.030581 -0.217022 0.535101,-0.018868 -0.568143 1.106229,-0.008126 -0.863076 1.630040,-0.064815 -0.764949 -1.134255,-0.047235 -1.014141 -0.277020,-0.028800 -0.998245 0.621922,-0.008094 -1.005249 1.631638,-0.036263 0.033280 0.258041,,-0.046779 -0.756592 -0.254749,-0.038126 -0.727590 0.167194,-0.032723 -0.249487 0.430633,-0.046217 -1.070051 -0.227365,-0.047830 -0.354964 -0.305988,-0.075937 -1.229815 -1.676570,-0.014178 1.059816 1.334957,-0.012170 0.651103 1.432875,-0.018978 -0.013755 1.100874,-0.072667 -1.222061 -1.517143,-0.035114 -0.507680 0.314072,-0.025721 0.252065 0.772103,-0.046285 -0.887032 -0.230674,-0.015045 -0.276808 1.292667,-0.026541 -0.139807 0.732084,-0.042443 -0.550453 -0.043307,-0.023349 0.364157 0.887733,,,,
non operating income expense,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.110463 -0.092700 -0.148167,-0.037554 0.095196 -0.026702,-0.037809 0.015447 -0.027127,-0.063363 -0.243838 -0.069699,-0.139389 -0.592472 -0.196356,0.056250 0.093308 0.129572,0.156850 0.058537 0.297167,3.318842 1.977829 5.564920,-0.132855 -0.334957 -0.185470,-0.031078 -0.274683 -0.015913,-0.020707 -0.290656 0.001363,-0.011778 -0.352649 0.016239,-0.113297 -0.503097 -0.152888,-0.099989 -0.578067 -0.130716,-0.047568 -0.541910 -0.043385,-0.051527 -0.497397 -0.049980,,,-0.122288 -0.304741 -0.167865,-0.145693 -0.269518 -0.206858,-0.139402 -0.271967 -0.196377,-0.190885 -0.505454 -0.282146,-0.170101 -0.028747 -0.247520,-0.136156 -0.242452 -0.190969,-0.351101 -3.647396 -0.549059,-0.139626 -0.039582 -0.196750,-0.138117 -0.101349 -0.194236,-0.382421 -1.146537 -0.601237,-0.138606 -0.483931 -0.195050,-0.223050 -1.020578 -0.335732,-0.151982 -0.895331 -0.217335,-0.369899 -0.200212 -0.580376,-0.147740 -0.249528 -0.210269,-0.199473 -2.154385 -0.296452,-0.198375 0.052293 -0.294624,,,,
profit for the period,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.070341 -0.647177 -1.518368,-0.041206 0.572418 -0.368982,-0.030592 0.215602 0.049745,-0.007090 0.477622 0.976893,-0.060372 -0.157210 -1.125079,-0.050466 -0.636370 -0.734303,-0.026230 -0.357089 0.221809,0.000608 -0.399034 1.280605,-0.058943 -0.430138 -1.068711,-0.001836 0.687305 1.184198,0.021116 0.431694 2.089668,0.043107 0.080097 2.957216,-0.061067 -0.609940 -1.152528,-0.034686 -0.634994 -0.111752,-0.018703 -0.808446 0.518791,-0.000424 -0.877772 1.239908,-0.037112 0.125882 -0.207479,,-0.049846 -0.832461 -0.709832,-0.036891 -0.386004 -0.198764,-0.035136 -0.249933 -0.129515,-0.046750 -0.939270 -0.587710,-0.052024 -0.396306 -0.795747,-0.071804 -0.934168 -1.576106,-0.019103 0.953736 0.502991,-0.012370 0.824427 0.768625,-0.017513 0.162756 0.565719,-0.070839 -1.084718 -1.538023,-0.035417 -0.431214 -0.140619,-0.033093 0.047924 -0.048921,-0.047963 -0.892866 -0.635547,-0.023074 -0.532337 0.346331,-0.030473 -0.190961 0.054442,-0.040259 -0.386799 -0.331645,-0.026208 0.385307 0.222691,,,,
capital fund to rwa,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.257055 -0.605918 -1.680157,-0.848405 -0.086758 -0.634302,-0.942347 -0.171924 -0.874728,-0.820222 -0.436074 -0.562174,-1.073867 -0.694981 -1.211325,-1.125535 -1.084894 -1.343560,-1.012804 -0.714631 -1.055048,-0.383389 -0.293651 0.555810,-1.144324 -1.575546 -1.391645,-0.867193 -1.346610 -0.682387,-0.885982 -1.459809 -0.730472,-0.890679 -2.021819 -0.742494,-0.904770 -1.583070 -0.778558,-0.801433 -1.751057 -0.514088,-0.125047 -0.707913 1.216982,-0.134441 -0.820032 1.192940,-0.547789 -0.675255 0.135063,,-0.707491 -1.098008 -0.273662,-0.641731 -1.251293 -0.105363,-0.900073 -1.461526 -0.766536,-0.491423 -0.991596 0.279319,-0.651125 -1.240270 -0.129406,-0.637034 -1.729402 -0.093342,-0.618245 -1.617838 -0.045257,-0.726279 -1.980366 -0.321747,-0.665217 -1.741256 -0.165470,0.058141 -0.507408 1.685814,-0.012316 -0.356930 1.505494,-0.026408 -0.121987 1.469430,0.062838 -0.221204 1.697836,0.100415 -0.151161 1.794006,-0.129744 -0.716447 1.204961,-0.049893 0.057902 1.409324,-0.618245 -2.002348 -0.045257,,,,
non performing loan to total loan,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355069 3.676393 3.372634,0.221756 3.416807 1.931782,0.219529 3.425103 1.907718,0.125180 3.133613 0.887992,0.078423 2.634519 0.382641,0.073413 2.727985 0.328496,0.198934 3.639305 1.685123,0.152733 3.746328 1.185788,0.129355 3.587080 0.933112,0.055323 3.197466 0.132973,0.039737 2.916099 -0.035477,0.038902 2.869639 -0.044501,0.037232 2.536577 -0.062550,0.034171 2.647705 -0.095638,0.028048 2.818764 -0.161815,0.018307 2.778354 -0.267096,-0.010638 1.910930 -0.579933,,-0.013143 1.399917 -0.607005,-0.016204 1.624639 -0.640094,0.011906 2.234623 -0.336281,0.006339 2.017810 -0.396442,0.001608 1.736383 -0.447579,-0.002288 1.555939 -0.489692,-0.006185 1.460123 -0.531804,-0.023162 0.699806 -0.715295,-0.039304 0.455181 -0.889761,-0.033738 0.533827 -0.829600,-0.035686 0.851264 -0.850657,-0.046262 -0.183313 -0.964962,-0.046819 0.161885 -0.970978,-0.047097 0.437058 -0.973986,-0.033738 -0.013238 -0.829600,-0.025389 -0.202402 -0.739359,0.016359 0.429727 -0.288153,,,,
total loan loss provision to npl,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.235556 -0.335281 -0.919649,-0.230537 -0.343071 -0.760196,-0.236309 -0.469615 -0.943567,-0.232117 -0.487818 -0.810394,-0.222535 -0.399681 -0.505958,-0.222730 -0.403634 -0.512159,-0.220462 -0.559852 -0.440110,-0.220955 -0.324988 -0.455760,-0.221038 -0.438391 -0.458417,-0.217655 -0.293551 -0.350935,-0.215648 -0.408350 -0.287154,-0.227851 -0.303297 -0.674860,-0.232572 -0.627261 -0.824863,-0.241337 -0.407933 -1.103314,-0.245148 -0.938515 -1.224380,-0.229087 -0.475961 -0.714132,-0.209513 -0.569193 -0.092267,,-0.193787 -0.560404 0.407351,-0.201455 -0.588392 0.163743,-0.225620 -0.848888 -0.603992,-0.219570 -0.714471 -0.411763,-0.216001 -0.771018 -0.298374,-0.210694 -0.725840 -0.129768,-0.208798 -0.824222 -0.069530,-0.198109 -0.599920 0.270045,-0.178340 -0.568033 0.898110,-0.172652 -0.557181 1.078823,-0.176900 -0.640060 0.943879,-0.138905 -0.531209 2.150994,-0.129955 -0.341122 2.435351,-0.110483 -0.348712 3.053968,-0.189187 -0.452068 0.553516,-0.172652 -0.104548 1.078823,-0.220555 -0.388921 -0.443063,,,,
cost of fund,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.042855 -0.176465 -0.796705,-1.177089 -0.395059 -0.969637,-1.069702 -0.104709 -0.831292,-1.091179 -0.152104 -0.858961,-1.091179 0.089376 -0.858961,-1.348908 -0.101147 -1.190989,-1.397232 0.062259 -1.253244,-1.552944 -0.412245 -1.453845,-1.676439 -0.560103 -1.612942,-1.649592 -0.815667 -1.578355,-1.354278 -0.804855 -1.197906,-0.989161 -0.764650 -0.727533,0.202836 -0.166780 0.808098,0.111557 -0.285766 0.690505,0.116927 -0.532493 0.697422,0.127665 -0.416942 0.711257,0.004170 -0.752096 0.552160,,0.004170 -0.784188 0.552160,-0.006569 -1.178318 0.538325,-0.011938 -1.234238 0.531408,0.063233 -1.054760 0.628250,0.004170 -1.045961 0.552160,-0.060262 -0.156432 0.469153,-0.688477 -1.194648 -0.340166,-0.624045 -0.341235 -0.257159,-0.650892 0.142852 -0.291745,-0.790495 -0.397148 -0.471594,-0.505919 -0.125645 -0.104980,-0.006569 -0.419378 0.538325,0.320962 -0.474991 0.960278,0.143774 -1.131983 0.732009,0.755880 -1.240736 1.520576,1.303555 -0.281675 2.226136,1.196168 -0.176202 2.087791,,,,
base rate,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.252813 0.969413 -0.212349,-0.509207 0.685242 -0.503038,-0.413805 0.891590 -0.394874,-0.604610 0.257940 -0.611201,-0.562871 0.927251 -0.563879,-1.218763 0.079083 -1.307500,-1.552672 -0.071454 -1.686070,-1.391680 -0.119246 -1.503545,-1.534784 -0.376086 -1.665790,-1.367829 -0.779459 -1.476505,-0.228962 -0.200585 -0.185309,1.112635 0.439758 1.335734,0.689286 -0.134669 0.855760,0.635622 -0.227264 0.794919,0.909905 -0.238683 1.105887,1.178224 0.176066 1.410096,0.504444 -0.726043 0.646194,,0.307676 -0.424258 0.423108,0.426930 -0.338593 0.558312,0.355378 -0.455547 0.477190,0.480593 -0.145005 0.619154,0.200349 -0.567639 0.301425,-0.193186 -0.441656 -0.144748,-0.747713 -0.545440 -0.773445,-0.837153 -0.228978 -0.874848,-0.944481 0.420694 -0.996531,-1.051809 0.021233 -1.118215,-0.604610 0.170058 -0.611201,0.021469 0.264418 0.098619,0.385191 0.024595 0.510991,0.355378 -0.443863 0.477190,1.112635 0.310145 1.335734,1.667162 0.799537 1.964431,1.446543 0.583222 1.714304,,,,
net interest spread,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115029 -0.159363 -0.412552,1.818580 1.819985 1.505351,1.405598 1.423993 1.040405,1.018427 1.095517 0.604518,0.669974 0.829821 0.212220,1.573372 1.726034 1.229289,2.231562 1.959059 1.970297,1.341070 1.292717 0.967757,1.005522 1.264984 0.589988,1.057144 1.165221 0.648107,-0.401199 -0.650907 -0.993734,-1.007766 -0.836816 -1.676624,-0.285047 -0.007970 -0.862968,0.063406 0.365306 -0.470670,0.463483 0.636373 -0.020253,0.863559 0.534232 0.430163,,,1.070050 0.924757 0.662636,0.837748 1.248607 0.401104,1.418504 0.918948 1.054935,1.005522 0.076797 0.589988,1.637901 1.219651 1.301937,-0.620595 -1.269218 -1.240737,0.411860 0.118828 -0.078372,-0.530256 -1.569383 -1.139030,-0.710935 -0.693005 -1.342444,-0.517350 0.061534 -1.124500,-0.865804 0.212659 -1.516799,-1.007766 0.654281 -1.676624,-0.233425 0.432861 -0.804850,0.347331 0.492146 -0.151019,-0.091462 -0.027459 -0.645025,0.373143 0.486596 -0.121960,1.431409 1.901318 1.069464,,,,
market share price,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.291321 -0.470001 1.686509,,,-0.676092 -0.787185 -0.514829,-0.744358 -1.069173 -0.905389,-0.632650 -0.831699 -0.266291,,,,,,,,,,,,,,,,,,,,,,
return on equity,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.719370 -1.911667 -1.652864,-0.119505 -0.542287 -0.063845,0.436910 0.472736 0.488799,1.534777 1.943078 1.579223,-1.379263 -1.328361 -1.315062,-0.949367 -1.373504 -0.888081,0.426027 -0.101923 0.477989,0.209719 -0.331071 0.263147,0.098163 -0.292864 0.152349,1.859919 0.985347 1.902161,1.084475 0.663699 1.131973,0.733484 0.769104 0.783362,-0.719455 -0.334978 -0.659727,-0.497705 -0.438947 -0.439480,-0.911275 -1.162432 -0.850247,-0.971134 -1.515956 -0.909700,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.759232 -2.332562 -1.834872,-0.245228 -0.630714 -0.141363,0.100830 0.316681 0.245725,0.879461 1.893316 1.116672,-1.470850 -2.269251 -1.512299,-1.124792 -2.461465 -1.125211,0.028735 -0.654029 0.165082,0.086411 -0.711590 0.229596,-0.086618 -0.596149 0.036052,1.701349 1.474991 2.036005,1.124586 0.935122 1.390859,0.518984 0.182699 0.713456,-0.692219 -0.751583 -0.641351,-0.374999 -0.953722 -0.286521,-0.591286 -1.311324 -0.528451,-0.778734 -2.065553 -0.738123,0.663175 -0.006629 0.874742,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.152650 -0.981648 -0.730319,-0.046325 0.028222 0.406340,-0.094037 -1.305856 -0.103721,-0.218214 -2.082242 -1.431231,-0.288676 -2.572889 -2.184499,-0.277617 -2.725232 -2.066273,-0.055488 0.016663 0.308381,-0.100514 -0.749971 -0.172968,-0.092931 -1.303147 -0.091898,-0.075869 -0.247703 0.090508,-0.127846 -0.699908 -0.465155,-0.139063 -1.763219 -0.585070,-0.076659 -0.849102 0.082063,-0.073657 -1.851731 0.114153,-0.085506 0.237605 -0.012518,-0.172240 -2.551433 -0.939748,-0.066705 -0.984381 0.188466,,-0.064494 -1.243513 0.212111,-0.089297 -0.778996 -0.053053,-0.033054 0.226726 0.548211,-0.082188 -1.250293 0.022950,-0.097355 -1.734371 -0.139189,-0.204469 -1.179800 -1.284293,-0.112363 -0.175388 -0.299638,-0.212843 -1.947456 -1.373807,-0.086612 -1.213755 -0.024341,-0.105728 -1.398655 -0.228703,0.043253 -1.852236 1.363971,0.031562 -2.544500 1.238989,0.034880 -2.508663 1.274457,-0.024523 -3.019446 0.639414,0.069794 -1.532697 1.647713,0.132673 0.311858 2.319913,0.077378 -0.182197 1.728783,,,,
debt ratio,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.189217 -0.499703 0.908855,-0.310419 -0.839525 -0.718460,-0.311934 -0.433007 -0.738801,-0.310419 -0.781326 -0.718460,-0.314964 -0.463716 -0.779484,-0.304358 -1.056794 -0.637094,-0.311934 -1.083816 -0.738801,-0.314964 -1.156101 -0.779484,-0.313449 -1.117108 -0.759142,-0.308904 -0.695401 -0.698118,-0.304358 -0.881400 -0.637094,-0.277088 -0.449117 -0.270948,-0.127101 -0.214317 1.742854,-0.161946 -0.318871 1.275001,-0.122556 -0.264325 1.803879,-0.225577 -0.326155 0.420661,-0.037714 -0.031353 2.942999,,,-0.193762 -0.635403 0.847831,,,,-0.274058 -0.752923 -0.230265,,-0.311934 -0.614301 -0.738801,-0.304358 -0.833577 -0.637094,-0.302843 -0.657799 -0.616752,-0.267998 0.067369 -0.148899,,,,,-0.260423 -0.290754 -0.047192,-0.260423 -0.687224 -0.047192,,,,
interest income to assets ratio,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.173046 -0.438284 -0.822101,-0.053740 0.530189 0.355007,0.033268 0.376595 1.213451,0.103138 0.031036 1.902807,-0.178978 -0.188935 -0.880632,-0.094607 -0.963500 -0.048201,-0.033965 -1.201928 0.550108,0.047770 -1.106583 1.356525,-0.196116 -0.786212 -1.049719,-0.082742 0.105849 0.068859,0.017449 -0.196988 1.057370,0.107752 -1.272054 1.948330,-0.151953 -0.280500 -0.613994,-0.029351 -1.240328 0.595631,0.089955 -0.265115 1.772740,0.204648 0.009005 2.904324,-0.132179 0.241551 -0.418893,,-0.132179 -0.453918 -0.418893,-0.134156 -0.721917 -0.438403,-0.134156 -0.649877 -0.438403,-0.147998 -1.034092 -0.574974,-0.148657 -0.321958 -0.581477,-0.161181 -1.061062 -0.705041,-0.151953 -0.032697 -0.613994,-0.180297 -1.057872 -0.893638,-0.179637 -0.796432 -0.887135,-0.179637 -0.931858 -0.887135,-0.165795 -0.237086 -0.750564,-0.157885 -0.228913 -0.672524,-0.146680 -0.908971 -0.561967,-0.128224 -1.133389 -0.379873,-0.109108 -0.167123 -0.191275,-0.173705 -2.515036 -0.828605,-0.096584 0.857826 -0.067711,,,,
interest income margin,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.344788 -1.046290 -0.751051,0.073779 0.567098 0.658977,0.350263 0.497774 1.590372,0.626747 0.676708 2.521766,-0.337108 -0.228519 -0.725179,-0.095184 -0.785781 0.089791,0.123699 -1.124390 0.827145,0.450105 -0.556857 1.926709,-0.356308 -0.433892 -0.789859,0.081459 0.531885 0.684849,0.304182 0.196516 1.435139,0.450105 -0.502223 1.926709,-0.387029 -0.243061 -0.893347,-0.129745 -0.917131 -0.026633,0.108339 -0.869466 0.775401,0.407864 -0.496454 1.784412,-0.229586 0.322838 -0.362970,,-0.218066 0.812431 -0.324162,-0.248787 -0.246746 -0.427650,-0.214226 0.903941 -0.311226,-0.310228 -1.666667 -0.634627,-0.298707 -1.011350 -0.595819,-0.352468 -0.765615 -0.776923,-0.225746 1.553601 -0.350034,-0.406229 -1.373884 -0.958028,-0.387029 -1.141436 -0.893347,-0.379349 -1.455296 -0.867475,-0.337108 0.026848 -0.725179,-0.344788 0.565010 -0.751051,-0.333268 -0.709878 -0.712243,-0.283347 -0.888171 -0.544074,-0.252627 0.465250 -0.440586,-0.429269 -2.960160 -1.035644,-0.218066 1.451143 -0.324162,,,,
return on investment,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.324019 -0.476391 -0.667716,0.421380 2.752395 1.200424,0.591757 1.615970 1.627428,0.975106 1.958032 2.588185,-0.182039 -0.074754 -0.311880,-0.011661 -0.515192 0.115123,0.286498 -0.384625 0.862380,0.584658 -0.510446 1.609636,-0.274326 -0.477142 -0.543174,0.421380 1.521216 1.200424,0.684045 0.946817 1.858721,0.797630 0.213135 2.143390,-0.352416 -0.818482 -0.738884,-0.089751 -0.961400 -0.080586,0.052230 -1.212126 0.275250,0.165815 -1.213388 0.559919,-0.182039 0.171421 -0.311880,,-0.302722 -1.227072 -0.614341,-0.217534 -0.563784 -0.400839,-0.224633 0.131192 -0.418631,-0.309821 -1.292904 -0.632133,-0.359515 -0.572757 -0.756675,-0.494396 -0.968380 -1.094720,-0.196237 1.187429 -0.347464,-0.210435 0.832390 -0.383047,-0.245930 0.026011 -0.472006,-0.501496 -1.014554 -1.112512,-0.331118 -0.706276 -0.685508,-0.324019 0.296137 -0.667716,-0.395010 -1.067151 -0.845634,-0.288524 -0.684935 -0.578757,-0.316920 -0.124366 -0.649924,-0.423406 -1.186777 -0.916802,-0.380812 -0.150488 -0.810051,,,,
commission to operating income,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.251341 -0.276032 -0.650348,-0.372025 -1.242301 -1.195280,-0.376018 -1.230261 -1.213311,-0.383117 -1.260098 -1.245366,-0.383561 -0.608124 -1.247369,-0.352946 -1.141103 -1.109133,-0.344072 -1.006439 -1.069064,-0.356496 -1.147583 -1.125160,-0.221170 -0.188817 -0.514115,-0.336086 -0.983729 -1.033003,-0.323219 -0.910434 -0.974903,-0.296154 -0.880562 -0.852694,-0.104924 -0.083124 0.010783,-0.223832 -0.622526 -0.526135,-0.238474 -0.620802 -0.592248,-0.278850 -0.766128 -0.774560,0.017091 -0.559897 0.561726,,-0.189225 -1.299870 -0.369868,-0.040589 -1.109429 0.301280,0.045044 -0.490688 0.687942,0.073883 -0.484890 0.818164,-0.117791 -0.772343 -0.047316,-0.112023 -0.706617 -0.021272,0.049037 -0.555829 0.705972,0.044156 -0.644299 0.683935,0.023303 -0.891832 0.589774,0.184362 0.862199 1.317018,0.434160 1.052479 2.444947,0.157297 -0.278943 1.194809,0.028183 -0.342058 0.611811,0.258902 0.526531 1.653594,0.277093 1.700963 1.735734,0.157297 1.426531 1.194809,-0.096493 -0.651085 0.048848,,,,
staff expense to income ratio,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.588938 0.249290 0.970353,0.959229 1.034281 -0.099322,0.777624 0.723812 -0.407812,0.418712 0.507226 -1.017490,1.477180 1.349397 0.780513,0.998989 1.337654 -0.031783,0.661568 1.197239 -0.604954,0.601391 1.341361 -0.707175,0.950632 1.548320 -0.113925,-0.233563 0.380305 -2.125498,-0.130403 0.514301 -1.950262,0.212391 1.014492 -1.367964,1.290202 0.923177 0.462896,0.676613 1.334963 -0.579398,0.715298 1.512409 -0.513684,0.695955 1.340416 -0.546541,0.845323 1.039657 -0.292813,,0.803414 1.059150 -0.364003,1.372945 1.532316 0.603450,0.977497 0.737069 -0.068291,0.919469 1.507453 -0.166862,1.530910 1.522110 0.871782,2.356193 1.620796 2.273677,1.068837 0.494378 0.086867,0.634704 -0.177612 -0.650588,0.974273 1.048270 -0.073767,1.995132 2.328242 1.660348,2.434638 2.615767 2.406930,1.111821 0.733240 0.159882,1.626548 2.009844 1.034241,1.224652 0.992877 0.351547,1.247219 1.138779 0.389880,1.509418 1.606046 0.835274,0.308029 0.148559 -1.205505,,,,
net profit margin,Prabhu Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.031115 -0.229014 -0.198792,1.299416 2.858303 1.856742,0.776293 1.740540 1.048571,0.903932 2.129486 1.245759,1.026251 -0.035349 1.434730,0.367755 0.459506 0.417420,0.570815 1.137388 0.731128,0.454297 0.126359 0.551120,0.322308 -0.054927 0.347210,1.210456 2.171352 1.719308,1.014648 1.318315 1.416804,0.781128 1.823123 1.056040,-0.164554 -0.622495 -0.404942,0.085404 -0.607400 -0.018783,-0.145699 -1.122926 -0.375812,-0.369066 -1.780875 -0.720891,0.239150 0.226899 0.218739,,-0.422248 -1.551855 -0.803053,0.131817 -0.419450 0.052922,-0.075111 -0.428279 -0.266762,-0.172774 -1.034863 -0.417640,-0.479298 -0.163772 -0.891190,-1.380018 -0.949820 -2.282708,0.015299 0.550854 -0.127087,0.606593 0.879758 0.786401,0.561629 0.605697 0.716937,-1.400324 -1.336717 -2.314079,-0.174707 -0.565356 -0.420628,-0.050454 0.153853 -0.228668,-0.560523 -0.980373 -1.016673,-0.052871 -0.511863 -0.232403,-0.404843 -0.311209 -0.776163,-0.386471 -0.209790 -0.747780,-0.780022 -0.349785 -1.355776,,,,
